Karotten-Ingwersuppe (So)Bohnen-Zucchini-Chili mit Vollkornreis (Gl,We) getoppt mit Cevapcici auf Weizenbasis mit Beilagensalat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)Fruchtjoghurt Pfirsich (La)Dessert	378	3.5
Nachos	72	2.0
Curly fries (Gl,We) inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	2.0
Aramäische Rote Linsensuppe	72	1.0
hausgemachte Quinoa-Bowl mit Zitronenaioli (Sf) getoppt mit Hähnchenstreifen (G) oder getoppt mit Tofuwürfel (So)	269	2.2
hausgemachte Quinoa-Bowl mit Zitronenaioli (Sf) getoppt mit Hähnchenstreifen (G) oder getoppt mit Tofuwürfel (So)	269	1.1
Kartoffeln oder Penne Rigate - Pastasorte (Gl,We) oder Buntes Gemüse	72	3.8
"Falafel", Kichererbsenbällchen (Gl,We) mit hausgemachter Tomatensalsa (6) und Reis	355	3.1
Nachos oder Romanesco	72	3.1
Falafelspieß (Gl,We) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	207	1.1
Vegane Blumenkohlcremesuppe (So)	72	2.7
Pulled Pork, verfeinert mit BBQ-Sauce im Burgerbrötchen (Gl,So,Sl,Se,S,We) mit Nachos	390	1.8
Veganer Jackfrucht BBQ Burger (Gl,Se,We,Ro,Ge,Haf) mit veganer Joppiesauce (Sf)	369	4.4
Vollkorn Penne Rigate - Pastasorte (Gl,We) mit Basilikumsauce getoppt mit Hähnchenstreifen (G)	250	1.5
Spiralli (Gl,We) oder Möhren-Ingwer-Rahmgemüse (So)	72	1.4
Karottengemüse	72	3.4
Broccolirahmsuppe (So)Paniertes Hähnchenschnitzel (Gl,G,We) dazu Paprika-Radieschen-Dip (So) oder Reis oder WeißkrautsalatDessertFruchtjoghurt Banane (La)	378	2.5
Gemüseeintopf mit Hülsenfrüchten und roten Linsen (Se)	223	2.1
Vegane Cannelloni mit Ratatouille gefüllt (1,Gl,We) und Tomatensauce (2)	360	3.9
Hausgemachter Rheinischer Bauerneintopf (So,Sl)	223	2.1
Vollkorn Penne Rigate - Pastasorte (Gl,We) mit Basilikumsauce getoppt mit Hähnchenstreifen (G)	250	2.5
Broccolirahmsuppe (So)gebratene Gemüselaibchen (Gl,We) dazu Paprika-Radieschen-Dip (So) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Banane (La)	378	2.4
Reis oder Broccoligemüse	72	2.1
Vegane Currywurst (So,Sl) mit Currysauce (1,2,9) und Pommes frites	327	2.2
Fränkische Kartoffelsuppe (3,So,La,Sl)Hühnerfricassee (gekochtes Hühnchen mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,G,Ge) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	1.4
Sojafricassee (Sojawürfel mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,Ge) mit Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf)	378	2.8
Auswahl an angemachten Salaten (2,3,9,Gl,Ei,So,La,Sl,Sf,S,R,Ho,We) dazu eine Auswahl an verschiedener Rohkost (9,Sl) sowie eine Auswahl an verschiedenen Toppings (2,3,6,8,Gl,Ei,La,Nu,Sl,Se,S,We,Ro,Wa)Knoblauchbaguette (Gl,La,We,Ro) zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	890	5.0
Pommes frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	2.2
3 Bärlauchknödel (Gl,Ei,La,We) mit Käsesauce (2,Ei,La)	314	1.7
Bockwurst (2,3,8,S,R) Rindswurst (2,3,8,La,Sl,Sf,R)	117	1.0
Aramäische Rote Linsensuppe	72	3.6
Khritaki mit gegrilltem Ratatouille und Feta (Gl,Ei,La,We) und Tomatensauce (2)	328	5.0
Gebackener Camembert mit Preiselbeeren (Gl,La,We) dazu ein gemischter Salat	270	3.6
Quinoaburger vom Grill im Brötchen mit Zwiebeln, Tomaten und Gurken (2,9,Gl,Se,We,Ro,Ge,Haf)	396	3.0
Fränkische Kartoffelsuppe (3,So,La,Sl)Hühnerfricassee (gekochtes Hühnchen mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,G,Ge) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	2.5
Penne Rigate - Pastasorte (Gl,We) und Sahnesauce aromatisiert mit Frankfurter Kräutern (Gl,La,Sl,Ge) getoppt mit Fetakäse (La)	250	1.0
Gemüsesuppe (Gl,So,Sl,Ge)"Falafel", Kichererbsenbällchen (Gl,We) mit Knoblauchmayonnaise (Sf) mit Gemüsereis (Sl) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Vanille (La)	378	2.3
Hausgemachter Berliner Erbseneintopf (Sl)	223	3.1
Currywurst vom Schwein (3,4,8,So,Se,S) oder Rindscurrywurst (2,3,4,So,Sl,R) mit Currysauce (1,2,9) und Pommes frites	344	4.2
Nürn-Burger: Frische Bratwurstschnecke im Laugenbrötchen, Salat (3,Gl,Sl,Sf,S,R,We) und Weißkrautrelish mit Nachos	370	2.9
Asiatische Reispfanne mit Gemüse, Pilzen und Sojakeimlingen (So) getoppt mit Hähnchenstreifen (G) oder getoppt mit Tofuwürfel (So)	340	3.7
Pfannengyros vom Schwein (3,Sl,S) mit Tzaziki (La) dazu Weißkrautsalat und Reis	336	2.4
Fränkische Kartoffelsuppe (3,So,La,Sl)Sojafricassee (Sojawürfel mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,Ge) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	3.2
Bulgur-Bowl mit hausgemachter Tomatensalsa (Gl,We) mit hausgemachter Tomatensalsa (6) nach Wahl mit mariniertem Fetakäse (La) oder marinierte Hähnchenstreifen (Gl,So,G,We)	269	3.9
Ungarisches Rindergulasch (5,Sw,R) mit Penne Rigate - Pastasorte (Gl,We)	399	4.1
Chili con Quinoa Burger (2,9,Gl,We,Ro)	389	2.4
"Falafel", Kichererbsenbällchen (Gl,We) mit hausgemachter Tomatensalsa (6) und Reis	355	3.9
Mainzer Bratwurst (3,S) oder Jackfruit Bratwurst mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf)	356	3.1
Döner vom Hähnchenspieß mit frischem Salattopping (Gl,La,Sl,Sf,G,We,Ro,Ge) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	350	3.3
Pfannengyros vom Schwein (3,Sl,S) mit Tzaziki (La) dazu Weißkrautsalat und Reis	336	4.6
Broccolirahmsuppe (So)gebratene Gemüselaibchen (Gl,We) dazu Paprika-Radieschen-Dip (So) oder Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Banane (La)	378	3.1
Gebackener Camembert mit Preiselbeeren (Gl,La,We) dazu ein gemischter Salat	270	2.0
Penne Rigate - Pastasorte (Gl,We) oder Erbsengemüse	72	1.6
Gebratenes Seelachsfilet (Fi) an Möhren-Ingwer-Rahmgemüse (So) und Kartoffeln	378	1.7
Broccolirahmsuppe (So)Paniertes Hähnchenschnitzel (Gl,G,We) dazu Paprika-Radieschen-Dip (So) oder Reis oder WeißkrautsalatDessertFruchtjoghurt Banane (La)	378	5.0
Wedgeskartoffeln (Gl,We) inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	4.6
"Gai Pad Prik" mit gegrilltem Gemüse (2,Gl,So,We) , Mie-Nudeln (Gl,We)	319	3.9
Frisch gebackener bayerischer Fleischkäse (2,3,S,R) mit Bratensauce und Röstzwiebelpüree (3,Gl,La,We)	303	4.4
Penne Rigate - Pastasorte (Gl,We) oder Erbsengemüse	72	1.0
Souvlaki-Spieß (Schweinefleisch am Holzspieß) typisch griechisch gewürzt (Ei,S) mit veganer Rahmsauce (So) und Kräuternudeln (Gl,We) dazu Weißkrautsalat	378	2.9
Nürn-Burger: Frische Bratwurstschnecke im Laugenbrötchen, Salat (3,Gl,Sl,Sf,S,R,We) und Weißkrautrelish	333	3.7
"Chakalaka", bunte  Gemüsepfanne (Gl,Sl,Ge) und Reis	268	3.8
Maccaroni ´n Cheese (Gl,La,Sf,We) mit Käsesauce (2,Ei,La)	250	2.5
Mohnnudeln (Gl,Ei,We) mit Dessertsauce "Vanillegeschmack" (La)	260	3.9
Orientalische Kichererbsen-Kartoffel Tagine	394	2.7
Pommes frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	3.4
Vegane Cannelloni mit Ratatouille gefüllt (1,Gl,We) und Tomatensauce (2)	360	1.4
Veganer Jackfrucht BBQ Burger (Gl,Se,We,Ro,Ge,Haf) mit veganer Joppiesauce (Sf) mit Nachos	441	3.3
Frisch gegrillter Wrap (Gl,La,We)"Chili sin Carne" mit Bohnen und Mais (Gl,So,We)	358	4.3
Sellerierahmsuppe (Gl,So,Sl,Ge)"Szegediner Rahmgulasch", Gulasch vom Schwein mit Sauerkraut pikant abgeschmeckt (5,So,Sw,S)Penne Rigate - Pastasorte (Gl,We) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Erdbeer (La)	378	3.7
Hausgemachter Weißer Bohneneintopf (2,Sl)	223	2.5
Fetawürfeln (La)	85	2.5
Große Frikadelle (Gl,Ei,S,R,We) mit Zwiebel-Senfsauce (So,Sf) und Kartoffeln dazu Rahmkohlrabi (So)	378	3.0
Broccolirahmsuppe (So)6 gebackene Fischstäbchen (Gl,Fi,We) mit Kartoffel-Gurken-Radieschen-Salat (2,So,Sf) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Pfirsich (La)	378	3.0
Broccoli Ecke (Gl,We,Haf) mit veganer Rahmsauce (So) und Kräuternudeln (Gl,We) dazu Weißkrautsalat	378	4.2
Hausgemachter Badischer Kartoffeleintopf (So,Sl)	223	2.3
Spiralli (Gl,We) mit Gorgonzola Walnuss-Sauce (Gl,La,Nu,Sl,Ge,Wa)	233	2.1
Vollkorn Penne Rigate - Pastasorte (Gl,We) mit Basilikumsauce getoppt mit Hähnchenstreifen (G)	250	3.8
Auswahl an angemachten Salaten (2,3,9,Gl,Ei,So,La,Sl,Sf,S,R,Ho,We) dazu eine Auswahl an verschiedener Rohkost (9,Sl) sowie eine Auswahl an verschiedenen Toppings (2,3,6,8,Gl,Ei,La,Nu,Sl,Se,S,We,Ro,Wa)Knoblauchbaguette (Gl,La,We,Ro) zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	890	5.0
Currywurst vom Schwein (3,4,8,So,Se,S) oder Geflügel-Currywurst (Sl,Sf,G) mit Currysauce (1,2,9) und Pommes frites	383	4.9
"Gai Pad Prik" mit gegrilltem Gemüse und Tofu (2,Gl,So,We) mit Reis	319	4.1
Pommes frites inkl. 1 Portion Ketchup (Sl) oder Mayonaise (3,Ei,Sf)	105	2.5
Nachos zur Wahl mit Tomatensalsa mit Schnittlauch-Sauerrahm Dip (La)	105	3.0
Pulled Pork, verfeinert mit BBQ-Sauce im Burgerbrötchen (Gl,So,Sl,Se,S,We)	390	1.9
Spiralli (Gl,We) "prosciutto" mit ital. Landschinken und Tomatensugo (2,6,S)	250	2.7
Vollkorn Penne Rigate - Pastasorte (Gl,We) mit Basilikumsauce getoppt mit Hähnchenstreifen (G)	250	3.7
Hühnerfricassee (gekochtes Hühnchen mit Champignons, Erbsen und Spargel in cremiger Sauce) (5,Gl,So,Sl,Sw,G,Ge) mit Reis dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)	378	3.3
Spiralli (Gl,We) verfeinert mit Paprika, Oliven und Hüttenkäse (3,La) und Tomatensauce (2)	258	1.8
"Falafel-Dürüm", Falafel im Wrap mit frischem Salat (Gl,We) dazu Knoblauchsauce (La) oder Joghurtsauce (La)	350	3.3
Veggi Kraut Dog- XXL Hot Dog mit knackigem Kraut und Röstzwiebeln (1,2,Gl,Ei,So,Sl,Sf,We)	324	2.3
Spiralli (Gl,We) mit Gorgonzola Walnuss-Sauce (Gl,La,Nu,Sl,Ge,Wa)	233	3.0
Spiralli (Gl,We) mit Gorgonzola Walnuss-Sauce (Gl,La,Nu,Sl,Ge,Wa)	233	2.7
Fränkische Kartoffelsuppe (3,So,La,Sl)	72	2.4
Frisch gegrillter Wrap (Gl,La,We)"Chili sin Carne" mit Bohnen und Mais (Gl,So,We)	358	5.0
Gemüsesuppe (Gl,So,Sl,Ge)Geflügel-Nuggets (Gl,G,We) mit Knoblauchmayonnaise (Sf) mit Gemüsereis (Sl) dazu ein gemischter Salat zur Wahl mit French Dressing (Sf) oder Joghurtdressing (La)DessertFruchtjoghurt Vanille (La)	378	3.0
